lecture	status	exit_code	recap
lecture01	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture02	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture03	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture04	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture05	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture06	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture07	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture08	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture09	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture10	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture11	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture12	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture13	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture14	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture15	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture16	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture17	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture18	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture19	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture20	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture21	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture22	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture23	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture24	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture25	FAIL	2	localhost : ok=2 changed=0 unreachable=0 failed=1 skipped=0 rescued=0 ignored=0
lecture26	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture27	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture28	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture29	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture30	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture31	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture32	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture33	PASS	0	localhost : ok=5 changed=1 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture34	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture35	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture36	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture37	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture38	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture39	PASS	0	localhost : ok=5 changed=1 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture40	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture41	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture42	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture43	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture44	PASS	0	localhost : ok=5 changed=0 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
lecture45	PASS	0	localhost : ok=5 changed=1 unreachable=0 failed=0 skipped=0 rescued=0 ignored=0
